Month,Mkt-RF,SMB,HML,RMW,CMA,RF,WML,Vol,Change,DJI
201606,-0.05,0.50,-1.40,1.41,1.98,0.02,6.09,2.35B,0.80%,"17,929.99"
201607,3.95,2.60,-1.23,1.14,-1.24,0.02,-1.71,1.82B,2.80%,"18,432.24"
201608,0.50,1.66,3.31,-1.81,-0.35,0.02,-3.85,1.70B,-0.17%,"18,400.88"
201609,0.25,1.79,-1.21,-2.13,-0.06,0.02,1.62,2.10B,-0.50%,"18,308.15"
201610,-2.02,-4.08,4.07,0.91,0.21,0.02,-1.14,1.79B,-0.91%,"18,142.42"
201611,4.86,6.80,8.22,-0.07,3.78,0.01,-4.11,2.11B,5.41%,"19,123.58"
201612,1.82,0.41,3.51,1.14,-0.29,0.03,-1.49,5.95B,3.34%,"19,762.60"
201701,1.94,-1.35,-2.81,-0.50,-0.94,0.04,1.76,6.48B,0.51%,"19,864.09"
201702,3.57,-2.18,-1.79,0.27,-1.74,0.04,-1.88,6.19B,4.77%,"20,812.24"
201703,0.17,0.80,-3.33,0.80,-1.04,0.03,0.12,6.94B,-0.72%,"20,663.22"
201704,1.09,0.48,-2.11,1.96,-1.58,0.05,0.06,5.39B,1.34%,"20,940.51"
201705,1.06,-3.11,-3.67,1.02,-1.93,0.06,1.09,6.61B,0.33%,"21,008.65"
201706,0.78,2.46,1.45,-2.23,-0.05,0.06,0.50,7.21B,1.62%,"21,349.63"
201707,1.87,-1.65,-0.36,-0.77,-0.21,0.07,1.77,5.57B,2.54%,"21,891.12"
201708,0.16,-1.81,-2.19,0.14,-2.42,0.09,1.95,6.15B,0.26%,"21,948.10"
201709,2.51,4.78,3.14,-1.38,1.64,0.09,0.01,6.34B,2.08%,"22,405.09"
201710,2.25,-1.96,0.12,0.93,-3.35,0.09,3.44,7.30B,4.34%,"23,377.24"
201711,3.12,-0.33,-0.09,3.30,0.05,0.08,0.46,7.34B,3.83%,"24,272.35"
201712,1.06,-1.02,0.17,0.72,1.67,0.09,-1.07,6.59B,1.84%,"24,719.22"
201801,5.58,-3.19,-1.32,-0.82,-0.86,0.11,3.27,9.12B,5.79%,"26,149.39"
201802,-3.65,0.37,-1.01,0.58,-2.23,0.11,2.43,9.45B,-4.28%,"25,029.20"
201803,-2.35,3.60,-0.12,-0.45,0.00,0.12,-1.11,8.87B,-3.70%,"24,103.11"
201804,0.29,0.96,0.50,-2.33,1.18,0.14,-0.49,8.06B,0.25%,"24,163.15"
201805,2.65,4.74,-3.15,-2.01,-1.44,0.14,3.11,7.28B,1.05%,"24,415.84"
201806,0.48,0.89,-2.31,0.83,0.34,0.14,-1.38,7.41B,-0.59%,"24,271.41"
201807,3.19,-1.95,0.57,1.53,0.40,0.16,-1.63,5.41B,4.71%,"25,415.19"
201808,3.44,0.64,-3.92,-0.15,-2.47,0.16,3.46,5.64B,2.16%,"25,964.82"
201809,0.06,-2.49,-1.63,0.59,1.26,0.15,0.59,5.26B,1.90%,"26,458.31"
201810,-7.68,-4.51,3.46,0.91,3.45,0.19,-2.46,8.37B,-5.07%,"25,115.76"
201811,1.69,-0.80,0.34,-0.63,0.33,0.18,-1.58,7.23B,1.68%,"25,538.46"
201812,-9.55,-2.99,-1.89,-0.09,0.15,0.19,1.46,8.10B,-8.66%,"23,327.46"
201901,8.41,3.05,-0.46,-0.65,-1.36,0.21,-3.85,7.19B,7.17%,"24,999.67"
201902,3.40,1.79,-2.71,0.09,-1.47,0.18,0.36,5.43B,3.67%,"25,916.00"
201903,1.10,-3.56,-4.19,0.86,-1.03,0.19,2.89,6.63B,0.05%,"25,928.68"
201904,3.96,-1.16,2.02,1.64,-2.18,0.21,-2.81,5.85B,2.56%,"26,592.91"
201905,-6.94,-1.50,-2.28,-0.54,1.78,0.21,6.68,6.36B,-6.69%,"24,815.04"
201906,6.93,0.33,-0.79,0.99,-0.38,0.18,-1.07,5.54B,7.19%,"26,599.96"
201907,1.19,-1.91,0.34,-0.16,0.34,0.19,1.01,5.27B,0.99%,"26,864.27"
201908,-2.58,-3.28,-4.85,0.42,-0.89,0.16,4.32,6.24B,-1.72%,"26,403.28"
201909,1.43,0.24,6.77,1.99,3.50,0.18,-4.43,5.09B,1.95%,"26,916.83"
201910,2.06,0.20,-1.88,0.25,-0.99,0.15,-1.23,5.72B,0.48%,"27,046.23"
201911,3.87,0.52,-2.05,-1.58,-1.24,0.12,-1.01,4.98B,3.72%,"28,051.41"
201912,2.77,0.94,1.91,0.09,1.29,0.14,0.27,5.14B,1.74%,"28,538.44"
202001,-0.11,-4.40,-6.27,-1.36,-2.34,0.13,4.15,6.27B,-0.99%,"28,256.03"
202002,-8.13,-0.03,-3.92,-1.61,-2.49,0.12,0.19,7.05B,-10.07%,"25,409.36"
202003,-13.38,-8.38,-13.96,-1.38,1.21,0.12,6.23,15.60B,-13.74%,"21,917.16"
202004,13.65,2.79,-1.39,2.51,-1.03,0.00,0.30,9.88B,11.08%,"24,345.72"
202005,5.58,1.93,-5.05,0.71,-3.28,0.01,1.57,8.01B,4.26%,"25,383.11"
202006,2.46,1.94,-2.35,0.03,0.34,0.01,2.21,9.82B,1.69%,"25,812.88"
202007,5.77,-3.03,-1.39,0.55,1.06,0.01,6.45,8.27B,2.38%,"26,428.32"
202008,7.63,-0.94,-2.94,4.27,-1.44,0.01,0.71,7.51B,7.57%,"28,430.05"
202009,-3.63,0.07,-2.51,-1.15,-1.77,0.01,2.40,10.05B,-2.28%,"27,781.70"
202010,-2.10,4.76,4.03,-0.60,-0.53,0.01,-1.69,8.51B,-4.61%,"26,501.60"
202011,12.47,6.75,2.11,-2.78,1.05,0.01,-10.92,7.92B,11.84%,"29,638.64"
202012,4.63,4.67,-1.36,-2.15,0.00,0.01,-0.09,8.18B,3.27%,"30,606.48"
202101,-0.03,6.88,2.85,-3.33,4.68,0.00,2.64,8.22B,-2.04%,"29,982.62"
202102,2.78,4.51,7.08,0.09,-1.97,0.00,-6.52,6.77B,3.17%,"30,932.37"
202103,3.08,-0.97,7.40,6.43,3.44,0.00,-4.83,9.79B,6.62%,"32,981.55"
